County,Agency_Name,Offense_Description,Min_months_submitted,Year,Offense_Count
Chippewa,Chippewa Co SO,Simple Assault,12,2020,156
Chippewa,Bloomer PD,Simple Assault,12,2020,35
Chippewa,Stanley PD,Arson,12,2020,0
Chippewa,Lake Hallie PD,Arson,12,2020,0
Chippewa,Cornell PD,Arson,12,2020,0
Chippewa,Chippewa Falls PD,Arson,12,2020,2
Chippewa,Chippewa Co SO,Arson,12,2020,0
Chippewa,Bloomer PD,Arson,12,2020,2
Chippewa,Stanley PD,Motor Vehicle Theft,12,2020,0
Chippewa,Lake Hallie PD,Motor Vehicle Theft,12,2020,5
Chippewa,Cornell PD,Motor Vehicle Theft,12,2020,1
Chippewa,Chippewa Falls PD,Motor Vehicle Theft,12,2020,15
Chippewa,Chippewa Co SO,Motor Vehicle Theft,12,2020,15
Chippewa,Bloomer PD,Motor Vehicle Theft,12,2020,2
Chippewa,Stanley PD,Larceny Theft,12,2020,36
Chippewa,Lake Hallie PD,Larceny Theft,12,2020,68
Chippewa,Cornell PD,Larceny Theft,12,2020,10
Chippewa,Chippewa Falls PD,Larceny Theft,12,2020,92
Chippewa,Chippewa Co SO,Larceny Theft,12,2020,155
Chippewa,Bloomer PD,Larceny Theft,12,2020,52
Chippewa,Stanley PD,Burglary,12,2020,0
Chippewa,Lake Hallie PD,Burglary,12,2020,2
Chippewa,Cornell PD,Burglary,12,2020,3
Chippewa,Chippewa Falls PD,Burglary,12,2020,19
Chippewa,Chippewa Co SO,Burglary,12,2020,99
Chippewa,Bloomer PD,Burglary,12,2020,8
Chippewa,Stanley PD,Aggravated Assault,12,2020,8
Chippewa,Lake Hallie PD,Aggravated Assault,12,2020,9
Chippewa,Cornell PD,Aggravated Assault,12,2020,2
Chippewa,Chippewa Falls PD,Aggravated Assault,12,2020,20
Chippewa,Chippewa Co SO,Aggravated Assault,12,2020,22
Chippewa,Bloomer PD,Aggravated Assault,12,2020,10
Chippewa,Stanley PD,Robbery,12,2020,0
Chippewa,Lake Hallie PD,Robbery,12,2020,0
Chippewa,Cornell PD,Robbery,12,2020,0
Chippewa,Chippewa Falls PD,Robbery,12,2020,0
Chippewa,Chippewa Co SO,Robbery,12,2020,1
Chippewa,Bloomer PD,Robbery,12,2020,0
Chippewa,Stanley PD,Rape - revised 2017,12,2020,0
Chippewa,Lake Hallie PD,Rape - revised 2017,12,2020,4
Chippewa,Cornell PD,Rape - revised 2017,12,2020,0
Chippewa,Chippewa Falls PD,Rape - revised 2017,12,2020,2
Chippewa,Chippewa Co SO,Rape - revised 2017,12,2020,17
Chippewa,Bloomer PD,Rape - revised 2017,12,2020,0
Chippewa,Stanley PD,Homicide,12,2020,0
Chippewa,Lake Hallie PD,Homicide,12,2020,1
Chippewa,Cornell PD,Homicide,12,2020,0
Chippewa,Chippewa Falls PD,Homicide,12,2020,0
Chippewa,Chippewa Co SO,Homicide,12,2020,0
Chippewa,Bloomer PD,Homicide,12,2020,0
Clark,Thorp PD,Human Trafficking - Involuntary Servitude,12,2020,0
Clark,Neillsville PD,Human Trafficking - Involuntary Servitude,12,2020,0
Clark,Colby-Abbotsford PD,Human Trafficking - Involuntary Servitude,12,2020,0
Clark,Clark Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Clark,Thorp PD,Human Trafficking - Commercial Sex,12,2020,0
Clark,Neillsville PD,Human Trafficking - Commercial Sex,12,2020,0
Clark,Colby-Abbotsford PD,Human Trafficking - Commercial Sex,12,2020,0
Clark,Clark Co SO,Human Trafficking - Commercial Sex,12,2020,0
Clark,Thorp PD,Simple Assault,12,2020,0
Clark,Neillsville PD,Simple Assault,12,2020,1
Clark,Colby-Abbotsford PD,Simple Assault,12,2020,10
Clark,Clark Co SO,Simple Assault,12,2020,49
Clark,Thorp PD,Arson,12,2020,0
Clark,Neillsville PD,Arson,12,2020,0
Clark,Colby-Abbotsford PD,Arson,12,2020,0
Clark,Clark Co SO,Arson,12,2020,0
Clark,Thorp PD,Motor Vehicle Theft,12,2020,0
Clark,Neillsville PD,Motor Vehicle Theft,12,2020,8
Clark,Colby-Abbotsford PD,Motor Vehicle Theft,12,2020,1
Clark,Clark Co SO,Motor Vehicle Theft,12,2020,18
Clark,Thorp PD,Larceny Theft,12,2020,0
Clark,Neillsville PD,Larceny Theft,12,2020,13
Clark,Colby-Abbotsford PD,Larceny Theft,12,2020,35
Clark,Clark Co SO,Larceny Theft,12,2020,65
Clark,Thorp PD,Burglary,12,2020,0
Clark,Neillsville PD,Burglary,12,2020,1
Clark,Colby-Abbotsford PD,Burglary,12,2020,1
Clark,Clark Co SO,Burglary,12,2020,27
Clark,Thorp PD,Aggravated Assault,12,2020,0
Clark,Neillsville PD,Aggravated Assault,12,2020,1
Clark,Colby-Abbotsford PD,Aggravated Assault,12,2020,5
Clark,Clark Co SO,Aggravated Assault,12,2020,23
Clark,Thorp PD,Robbery,12,2020,0
Clark,Neillsville PD,Robbery,12,2020,0
Clark,Colby-Abbotsford PD,Robbery,12,2020,0
Clark,Clark Co SO,Robbery,12,2020,0
Clark,Thorp PD,Rape - revised 2017,12,2020,0
Clark,Neillsville PD,Rape - revised 2017,12,2020,1
Clark,Colby-Abbotsford PD,Rape - revised 2017,12,2020,0
Clark,Clark Co SO,Rape - revised 2017,12,2020,0
Clark,Thorp PD,Homicide,12,2020,0
Clark,Neillsville PD,Homicide,12,2020,0
Clark,Colby-Abbotsford PD,Homicide,12,2020,0
Clark,Clark Co SO,Homicide,12,2020,0
Columbia,Wisconsin Dells PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Rio PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Poynette PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Portage PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Lodi PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Fall River PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Columbus PD,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Columbia Co SO,Human Trafficking - Involuntary Servitude,12,2020,0
Columbia,Wisconsin Dells PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Rio PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Poynette PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Portage PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Lodi PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Fall River PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Columbus PD,Human Trafficking - Commercial Sex,12,2020,0
Columbia,Columbia Co SO,Human Trafficking - Commercial Sex,12,2020,0
