State,County,Rural_urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural_urban_Continuum_Code_2013,Urban_Influence_Code_2013,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_some_college_1970,Percent_bachelors_degree_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_some_college_1980,Percent_bachelors_degree_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Door,6,6,6,6,5934,3877,1157,731,50.7,33.1,9.9,6.2,4867,6182,2110,1979,32.2,40.8,13.9,13.1,3549,7021,3945,2854,20.4,40.4,22.7,16.4,2453,7741,5574,4294,12.2,38.6,27.8,21.4,1212,6535,6529,7258,5.6,30.3,30.3,33.7
WI,Douglas,2,2,2,2,10981,8760,2594,2049,45,35.9,10.6,8.4,8036,11247,3765,3085,30.8,43,14.4,11.8,6165,10705,6173,4017,22.8,39.6,22.8,14.8,4053,10370,8990,5240,14.1,36.2,31.4,18.3,1937,9613,11883,7456,6.3,31.1,38.5,24.1
WI,Dunn,6,5,6,3,7279,4461,1407,1366,50.2,30.7,9.7,9.4,5624,6273,2634,2824,32.4,36.1,15.2,16.3,4413,7356,4144,3842,22.3,37.2,21,19.4,3023,8353,6496,4772,13.4,36.9,28.7,21.1,1717,9096,8866,7612,6.3,33.3,32.5,27.9
WI,EauClaire,3,2,3,2,13280,12763,3892,3771,39.4,37.9,11.5,11.2,10526,17425,6553,7534,25,41.5,15.6,17.9,8491,17509,13002,10334,17.2,35.5,26.4,20.9,6133,17212,17009,14936,11.1,31.1,30.8,27,3880,16400,24043,21183,5.9,25,36.7,32.3
WI,Florence,9,8,9,8,952,716,79,105,51.4,38.7,4.3,5.7,954,1089,280,211,37.6,43,11,8.3,759,1345,680,273,24.8,44,22.2,8.9,592,1614,982,453,16.3,44.3,27,12.4,238,1293,1220,685,6.9,37.6,35.5,19.9
WI,FondduLac,3,2,3,2,21170,15527,3577,3688,48.2,35.3,8.1,8.4,16163,22509,6305,5752,31.9,44.4,12.4,11.3,12768,24259,12174,7563,22.5,42.7,21.4,13.3,10026,25479,17328,10715,15.8,40.1,27.3,16.9,5842,25836,23454,16516,8.2,36.1,32.7,23.1
WI,Forest,9,10,9,12,2505,1248,243,145,60.5,30.1,5.9,3.5,2240,2005,557,415,42.9,38.4,10.7,8,2012,2177,990,429,35.9,38.8,17.7,7.6,1439,2859,1725,671,21.5,42.7,25.8,10,722,2523,2253,946,11.2,39.2,35,14.7
WI,Grant,6,5,6,5,11315,7709,2501,2103,47.9,32.6,10.6,8.9,8887,11234,3474,3791,32.5,41,12.7,13.8,6450,12464,5956,4290,22.1,42.7,20.4,14.7,5059,12255,8058,5253,16.5,40,26.3,17.2,2463,11171,10580,7583,7.7,35.1,33.3,23.8
WI,Green,6,5,2,2,7372,5203,1386,1025,49.2,34.7,9.2,6.8,5870,7606,2336,1936,33.1,42.9,13.2,10.9,4577,8532,4235,2364,23.2,43.3,21.5,12,3577,9085,6107,3754,15.9,40.3,27.1,16.7,1969,9234,8699,6144,7.6,35.5,33.4,23.6
WI,GreenLake,6,6,6,6,5024,3202,1002,635,50.9,32.5,10.2,6.4,4269,4656,1285,1184,37.5,40.9,11.3,10.4,3169,5364,2500,1420,25.4,43.1,20.1,11.4,2394,5547,3372,1916,18.1,41.9,25.5,14.5,1361,5136,4110,2679,10.2,38.7,30.9,20.2
WI,Iowa,2,2,2,2,4489,3704,1224,621,44.7,36.9,12.2,6.2,3332,5084,1577,1286,29.5,45.1,14,11.4,2473,5812,2770,1692,19.4,45.6,21.7,13.3,1743,6306,4264,2787,11.5,41.8,28.2,18.5,794,5858,5867,4078,4.8,35.3,35.3,24.6
WI,Iron,9,12,9,12,2283,1339,301,202,55.3,32.5,7.3,4.9,1654,1723,675,374,37.4,38.9,15.3,8.5,1125,1678,1178,466,25.3,37.7,26.5,10.5,835,1951,1664,674,16.3,38.1,32.5,13.2,251,1546,1876,919,5.5,33.7,40.9,20
WI,Jackson,6,6,6,6,4948,2820,452,397,57.4,32.7,5.2,4.6,3936,4289,1115,807,38.8,42.3,11,8,3367,4531,1957,945,31.2,42,18.1,8.8,2686,5333,3318,1442,21,41.7,26,11.3,1465,6026,4892,2111,10.1,41.6,33.8,14.6
WI,Jefferson,4,3,4,3,15420,11076,2996,2635,48,34.5,9.3,8.2,12173,15775,4961,4725,32.3,41.9,13.2,12.6,9724,16789,9318,6383,23,39.8,22.1,15.1,7509,18892,14135,8521,15.3,38.5,28.8,17.4,4806,19541,19312,14887,8.2,33.4,33,25.4
WI,Juneau,7,9,7,9,5586,3249,1020,457,54.2,31.5,9.9,4.4,5172,5102,1391,979,40.9,40.4,11,7.7,4180,5929,2879,1222,29.4,41.7,20.3,8.6,3543,7076,4197,1641,21.5,43,25.5,10,2248,8071,6461,2675,11.6,41.5,33.2,13.7
WI,Kenosha,1,1,1,1,31692,20830,5109,4216,51.2,33.7,8.3,6.8,24863,28670,9524,7578,35.2,40.6,13.5,10.7,20128,29482,20934,10250,24.9,36.5,25.9,12.7,15645,31711,29436,18246,16.5,33.4,31,19.2,11191,34002,38291,29553,9.9,30.1,33.9,26.1
WI,Kewaunee,2,2,2,2,5440,3454,612,358,55.2,35,6.2,3.6,4079,4931,1162,847,37,44.7,10.5,7.7,3160,5727,2082,976,26.5,47.9,17.4,8.2,2133,6338,3345,1520,16,47.5,25.1,11.4,1000,5802,4907,2824,6.9,39.9,33.8,19.4
WI,LaCrosse,3,2,3,2,16602,15400,4877,4637,40,37.1,11.7,11.2,13192,19582,8435,8649,26.5,39.3,16.9,17.3,10208,20126,15901,12351,17.4,34.4,27.1,21.1,6749,20823,21121,16570,10.3,31.9,32.4,25.4,3775,19189,26183,26309,5,25.4,34.7,34.9
WI,Lafayette,8,7,8,7,4276,3462,791,552,47.1,38.1,8.7,6.1,3258,4530,1108,909,33.2,46.2,11.3,9.3,2338,4936,1878,1029,23,48.5,18.4,10.1,1523,4906,2695,1404,14.5,46.6,25.6,13.3,1050,4623,3585,2149,9.2,40.5,31.4,18.8
WI,Langlade,6,6,6,6,5711,3178,999,588,54.5,30.3,9.5,5.6,4850,4579,1403,1011,41,38.7,11.8,8.5,3686,5666,2442,1139,28.5,43.8,18.9,8.8,2745,6509,3436,1682,19.1,45.3,23.9,11.7,1377,5981,4416,2353,9.7,42.3,31.3,16.7
WI,Lincoln,6,5,6,5,7359,4060,1085,736,55.6,30.7,8.2,5.6,6324,5967,1835,1541,40.4,38.1,11.7,9.8,5084,7060,3520,1903,28.9,40.2,20,10.8,3706,8332,5350,2732,18.4,41.4,26.6,13.6,1651,7858,7303,3795,8,38.1,35.4,18.4
WI,Manitowoc,4,5,4,5,21575,16419,2910,2899,49.3,37.5,6.6,6.6,15975,22400,5080,4801,33.1,46.4,10.5,9.9,12841,22886,10176,6312,24.6,43.8,19.5,12.1,8562,23853,14458,8579,15.4,43,26.1,15.5,4540,21961,18905,11526,8,38.6,33.2,20.2
WI,Marathon,3,2,3,2,26385,16338,4596,3735,51.7,32,9,7.3,22123,25092,8031,7267,35.4,40.1,12.8,11.6,17408,29494,15729,9736,24.1,40.8,21.7,13.5,13282,31091,22558,14994,16.2,38,27.5,18.3,7643,32080,30097,23791,8.2,34.3,32.2,25.4
WI,Marinette,6,5,6,5,10470,7480,1460,1098,51.1,36.5,7.1,5.4,8288,10403,2865,2034,35.1,44.1,12.1,8.6,7046,11511,5433,2709,26.4,43.1,20.3,10.1,5167,13221,7372,3815,17.5,44.7,24.9,12.9,2683,12521,10089,4779,8.9,41.6,33.5,15.9
WI,Marquette,8,7,8,7,2997,1685,480,266,55.2,31,8.8,4.9,3069,2899,850,594,41.4,39.1,11.5,8,2574,3503,1672,750,30.3,41.2,19.7,8.8,2420,4733,3121,1154,21.2,41.4,27.3,10.1,1249,4684,3784,1732,10.9,40.9,33.1,15.1
WI,Menominee,8,7,8,5,694,194,87,25,69.4,19.4,8.7,2.5,861,411,151,23,59.5,28.4,10.4,1.6,717,789,345,71,37.3,41.1,18,3.7,522,1009,558,310,21.8,42.1,23.3,12.9,213,1120,826,472,8.1,42.6,31.4,17.9
WI,Milwaukee,1,1,1,1,263209,195714,60090,59487,45.5,33.8,10.4,10.3,180584,214234,88582,89876,31.5,37.4,15.5,15.7,144939,192086,155588,117925,23.7,31.5,25.5,19.3,117414,174794,161719,140460,19.8,29.4,27.2,23.6,73772,178661,182341,195028,11.7,28.4,29,31
WI,Monroe,6,6,6,6,8832,6162,1536,1040,50.3,35.1,8.7,5.9,7458,8868,2555,1852,36,42.8,12.3,8.9,5589,9965,4991,2480,24.3,43.3,21.7,10.8,4986,10829,7037,3471,18.9,41.1,26.7,13.2,2821,11393,10353,6356,9.1,36.8,33.5,20.6
WI,Oconto,2,2,2,2,8297,4361,862,599,58.8,30.9,6.1,4.2,6993,7143,1621,1259,41.1,42,9.5,7.4,6045,8848,3184,1683,30.6,44.8,16.1,8.5,4685,10908,6029,2564,19.4,45.1,24.9,10.6,2642,11524,8811,4636,9.6,41.7,31.9,16.8
WI,Oneida,7,9,7,9,6282,5054,1623,1015,45,36.2,11.6,7.3,5716,7897,3200,2566,29.5,40.8,16.5,13.2,4963,8379,5510,3301,22.4,37.8,24.9,14.9,3951,9648,7570,5280,14.9,36.5,28.6,20,1863,8667,9215,7375,6.9,32,34,27.2
