County,Agency Name,Offense Description,Agency Name,County,Offense Description,Min. months_submitted,Min. year of year,Offense Count
Bayfield,Washburn PD,Homicide,Washburn PD,Bayfield,Homicide,12,2019,0
Bayfield,Iron River PD,Homicide,Iron River PD,Bayfield,Homicide,12,2019,0
Bayfield,Bayfield PD,Homicide,Bayfield PD,Bayfield,Homicide,12,2019,0
Bayfield,Bayfield Co SO,Homicide,Bayfield Co SO,Bayfield,Homicide,12,2019,0
Brown,UW-Green Bay PD,Human Trafficking - Involuntary Servitude,UW-Green Bay PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,Pulaski PD,Human Trafficking - Involuntary Servitude,Pulaski PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,Hobart-Lawrence PD,Human Trafficking - Involuntary Servitude,Hobart-Lawrence PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,Green Bay PD,Human Trafficking - Involuntary Servitude,Green Bay PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,1
Brown,De Pere PD,Human Trafficking - Involuntary Servitude,De Pere PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,Brown Co SO,Human Trafficking - Involuntary Servitude,Brown Co SO,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,Ashwaubenon PD,Human Trafficking - Involuntary Servitude,Ashwaubenon PD,Brown,Human Trafficking - Involuntary Servitude,12,2019,0
Brown,UW-Green Bay PD,Human Trafficking - Commercial Sex,UW-Green Bay PD,Brown,Human Trafficking - Commercial Sex,12,2019,0
Brown,Pulaski PD,Human Trafficking - Commercial Sex,Pulaski PD,Brown,Human Trafficking - Commercial Sex,12,2019,0
Brown,Hobart-Lawrence PD,Human Trafficking - Commercial Sex,Hobart-Lawrence PD,Brown,Human Trafficking - Commercial Sex,12,2019,0
Brown,Green Bay PD,Human Trafficking - Commercial Sex,Green Bay PD,Brown,Human Trafficking - Commercial Sex,12,2019,14
Brown,De Pere PD,Human Trafficking - Commercial Sex,De Pere PD,Brown,Human Trafficking - Commercial Sex,12,2019,0
