,State,County_x,Agency Name,Offense Description,Min. year of year_x,Offense Count_x,County_y,Min. year of year_y,Offense Count_y,County,Min. year of year,Offense Count
159,WI,Brown,Brown Co SO,Burglary,2018,66,Brown,2019,37,Brown,2020,38
160,WI,Brown,Ashwaubenon PD,Burglary,2018,34,Brown,2019,21,Brown,2020,15
161,WI,Brown,UW-Green Bay PD,Aggravated Assault,2018,0,Brown,2019,0,Brown,2020,0
162,WI,Brown,Pulaski PD,Aggravated Assault,2018,3,Brown,2019,8,Brown,2020,6
163,WI,Brown,Hobart-Lawrence PD,Aggravated Assault,2018,2,Brown,2019,6,Brown,2020,7
164,WI,Brown,Green Bay PD,Aggravated Assault,2018,350,Brown,2019,399,Brown,2020,426
165,WI,Brown,De Pere PD,Aggravated Assault,2018,28,Brown,2019,17,Brown,2020,20
166,WI,Brown,Brown Co SO,Aggravated Assault,2018,54,Brown,2019,53,Brown,2020,49
167,WI,Brown,Ashwaubenon PD,Aggravated Assault,2018,5,Brown,2019,10,Brown,2020,17
168,WI,Brown,UW-Green Bay PD,Robbery,2018,0,Brown,2019,0,Brown,2020,0
169,WI,Brown,Pulaski PD,Robbery,2018,0,Brown,2019,0,Brown,2020,0
170,WI,Brown,Hobart-Lawrence PD,Robbery,2018,1,Brown,2019,0,Brown,2020,0
171,WI,Brown,Green Bay PD,Robbery,2018,56,Brown,2019,49,Brown,2020,45
172,WI,Brown,De Pere PD,Robbery,2018,0,Brown,2019,0,Brown,2020,2
173,WI,Brown,Brown Co SO,Robbery,2018,4,Brown,2019,3,Brown,2020,3
174,WI,Brown,Ashwaubenon PD,Robbery,2018,2,Brown,2019,1,Brown,2020,3
175,WI,Brown,UW-Green Bay PD,Rape - revised 2017,2018,0,Brown,2019,1,Brown,2020,0
176,WI,Brown,Pulaski PD,Rape - revised 2017,2018,0,Brown,2019,0,Brown,2020,1
177,WI,Brown,Hobart-Lawrence PD,Rape - revised 2017,2018,4,Brown,2019,2,Brown,2020,2
178,WI,Brown,Green Bay PD,Rape - revised 2017,2018,81,Brown,2019,82,Brown,2020,76
179,WI,Brown,De Pere PD,Rape - revised 2017,2018,10,Brown,2019,2,Brown,2020,8
180,WI,Brown,Brown Co SO,Rape - revised 2017,2018,42,Brown,2019,31,Brown,2020,21
181,WI,Brown,Ashwaubenon PD,Rape - revised 2017,2018,6,Brown,2019,9,Brown,2020,14
