State,County,_2003_Rural_urban_Continuum_Code,_2003_Urban_Influence_Code,_2013_Rural_urban_Continuum_Code,_2013_Urban_Influence_Code,Less_than_a_high_school_diploma_1970,High_school_diploma_only_1970,Some_college_1970,Four_years_of_college_or_higher_1970,Percent_less_than_a_high_school_diploma_1970,Percent_high_school_diploma_only_1970,Percent_completing_some_college_1970,Percent_completing_four_years_of_college_or_higher_1970,Less_than_a_high_school_diploma_1980,High_school_diploma_only_1980,Some_college_1980,Four_years_of_college_or_higher_1980,Percent_less_than_a_high_school_diploma_1980,Percent_high_school_diploma_only_1980,Percent_completing_some_college_1980,Percent_completing_four_years_of_college_or_higher_1980,Less_than_a_high_school_diploma_1990,High_school_diploma_only_1990,Some_college_or_associates_degree_1990,Bachelors_degree_or_higher_1990,Percent_less_than_a_high_school_diploma_1990,Percent_high_school_diploma_only_1990,Percent_completing_some_college_or_associates_degree_1990,Percent_bachelors_degree_or_higher_1990,Less_than_a_high_school_diploma_2000,High_school_diploma_only_2000,Some_college_or_associates_degree_2000,Bachelors_degree_or_higher_2000,Percent_less_than_a_high_school_diploma_2000,Percent_high_school_diploma_only_2000,Percent_completing_some_college_or_associates_degree_2000,Percent_bachelors_degree_or_higher_2000,Less_than_a_high_school_diploma_2015_19,High_school_diploma_only_2015_19,Some_college_or_associates_degree_2015_19,Bachelors_degree_or_higher_2015_19,Percent_less_than_a_high_school_diploma_2015_19,Percent_high_school_diploma_only_2015_19,Percent_completing_some_college_or_associates_degree_2015_19,Percent_bachelors_degree_or_higher_2015_19
WI,Lafayette,8,7,8,7,"4,276","3,462",791,552,47.1,38.1,8.7,6.1,"3,258","4,530","1,108",909,33.2,46.2,11.3,9.3,"2,338","4,936","1,878","1,029",23,48.5,18.4,10.1,"1,523","4,906","2,695","1,404",14.5,46.6,25.6,13.3,"1,050","4,623","3,585","2,149",9.2,40.5,31.4,18.8
WI,Langlade,6,6,6,6,"5,711","3,178",999,588,54.5,30.3,9.5,5.6,"4,850","4,579","1,403","1,011",41,38.7,11.8,8.5,"3,686","5,666","2,442","1,139",28.5,43.8,18.9,8.8,"2,745","6,509","3,436","1,682",19.1,45.3,23.9,11.7,"1,377","5,981","4,416","2,353",9.7,42.3,31.3,16.7
WI,Lincoln,6,5,6,5,"7,359","4,060","1,085",736,55.6,30.7,8.2,5.6,"6,324","5,967","1,835","1,541",40.4,38.1,11.7,9.8,"5,084","7,060","3,520","1,903",28.9,40.2,20,10.8,"3,706","8,332","5,350","2,732",18.4,41.4,26.6,13.6,"1,651","7,858","7,303","3,795",8,38.1,35.4,18.4
WI,Manitowoc,4,5,4,5,"21,575","16,419","2,910","2,899",49.3,37.5,6.6,6.6,"15,975","22,400","5,080","4,801",33.1,46.4,10.5,9.9,"12,841","22,886","10,176","6,312",24.6,43.8,19.5,12.1,"8,562","23,853","14,458","8,579",15.4,43,26.1,15.5,"4,540","21,961","18,905","11,526",8,38.6,33.2,20.2
WI,Marathon,3,2,3,2,"26,385","16,338","4,596","3,735",51.7,32,9,7.3,"22,123","25,092","8,031","7,267",35.4,40.1,12.8,11.6,"17,408","29,494","15,729","9,736",24.1,40.8,21.7,13.5,"13,282","31,091","22,558","14,994",16.2,38,27.5,18.3,"7,643","32,080","30,097","23,791",8.2,34.3,32.2,25.4
WI,Marinette,6,5,6,5,"10,470","7,480","1,460","1,098",51.1,36.5,7.1,5.4,"8,288","10,403","2,865","2,034",35.1,44.1,12.1,8.6,"7,046","11,511","5,433","2,709",26.4,43.1,20.3,10.1,"5,167","13,221","7,372","3,815",17.5,44.7,24.9,12.9,"2,683","12,521","10,089","4,779",8.9,41.6,33.5,15.9
WI,Marquette,8,7,8,7,"2,997","1,685",480,266,55.2,31,8.8,4.9,"3,069","2,899",850,594,41.4,39.1,11.5,8,"2,574","3,503","1,672",750,30.3,41.2,19.7,8.8,"2,420","4,733","3,121","1,154",21.2,41.4,27.3,10.1,"1,249","4,684","3,784","1,732",10.9,40.9,33.1,15.1
WI,Menominee,8,7,8,5,694,194,87,25,69.4,19.4,8.7,2.5,861,411,151,23,59.5,28.4,10.4,1.6,717,789,345,71,37.3,41.1,18,3.7,522,"1,009",558,310,21.8,42.1,23.3,12.9,213,"1,120",826,472,8.1,42.6,31.4,17.9
WI,Milwaukee,1,1,1,1,"263,209","195,714","60,090","59,487",45.5,33.8,10.4,10.3,"180,584","214,234","88,582","89,876",31.5,37.4,15.5,15.7,"144,939","192,086","155,588","117,925",23.7,31.5,25.5,19.3,"117,414","174,794","161,719","140,460",19.8,29.4,27.2,23.6,"73,772","178,661","182,341","195,028",11.7,28.4,29,31
WI,Monroe,6,6,6,6,"8,832","6,162","1,536","1,040",50.3,35.1,8.7,5.9,"7,458","8,868","2,555","1,852",36,42.8,12.3,8.9,"5,589","9,965","4,991","2,480",24.3,43.3,21.7,10.8,"4,986","10,829","7,037","3,471",18.9,41.1,26.7,13.2,"2,821","11,393","10,353","6,356",9.1,36.8,33.5,20.6
