Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2019,CI90LBALL_2019,CI90UBALL_2019,PCTPOVALL_2019,CI90LBALLP_2019,CI90UBALLP_2019,POV017_2019,CI90LB017_2019,CI90UB017_2019,PCTPOV017_2019,CI90LB017P_2019,CI90UB017P_2019,POV517_2019,CI90LB517_2019,CI90UB517_2019,PCTPOV517_2019,CI90LB517P_2019,CI90UB517P_2019,MEDHHINC_2019,CI90LBINC_2019,CI90UBINC_2019
WI,St. Croix County,1,1,1,1,"5,285","4,417","6,153",5.9,4.9,6.9,"1,433","1,123","1,743",6.6,5.2,8.0,"1,007",777,"1,237",6.1,4.7,7.5,"87,098","81,580","92,616"
WI,Sauk County,4,5,4,5,"6,471","5,499","7,443",10.2,8.7,11.7,"2,138","1,724","2,552",15.0,12.1,17.9,"1,494","1,178","1,810",14.2,11.2,17.2,"63,752","59,885","67,619"
WI,Sawyer County,9,12,7,12,"2,063","1,646","2,480",12.7,10.1,15.3,645,455,835,20.8,14.7,26.9,474,323,625,20.4,13.9,26.9,"53,908","48,790","59,026"
WI,Shawano County,6,6,6,5,"3,851","3,091","4,611",9.6,7.7,11.5,"1,238",879,"1,597",14.6,10.4,18.8,729,455,"1,003",11.6,7.3,15.9,"58,982","55,105","62,859"
WI,Sheboygan County,3,2,3,2,"9,051","7,374","10,728",8.1,6.6,9.6,"2,816","2,137","3,495",11.4,8.7,14.1,"1,877","1,375","2,379",10.2,7.5,12.9,"62,108","58,536","65,680"
WI,Taylor County,6,6,6,6,"1,942","1,539","2,345",9.7,7.7,11.7,580,364,796,12.5,7.9,17.1,415,247,583,11.9,7.1,16.7,"52,419","49,557","55,281"
WI,Trempealeau County,8,7,6,6,"2,598","2,089","3,107",8.9,7.1,10.7,818,600,"1,036",11.3,8.3,14.3,544,381,707,10.5,7.3,13.7,"61,687","57,404","65,970"
WI,Vernon County,6,6,6,6,"4,297","3,498","5,096",14.1,11.5,16.7,"1,880","1,409","2,351",23.8,17.8,29.8,"1,318",960,"1,676",22.7,16.5,28.9,"56,272","53,259","59,285"
WI,Vilas County,9,12,9,12,"2,460","1,989","2,931",11.2,9.1,13.3,698,500,896,19.0,13.6,24.4,510,360,660,18.9,13.3,24.5,"55,576","50,731","60,421"
WI,Walworth County,4,3,4,3,"9,532","7,892","11,172",9.5,7.9,11.1,"1,916","1,296","2,536",9.3,6.3,12.3,"1,321",860,"1,782",8.4,5.5,11.3,"64,682","60,871","68,493"
WI,Washburn County,6,6,7,11,"1,990","1,668","2,312",12.8,10.7,14.9,528,400,656,18.3,13.9,22.7,392,296,488,18.0,13.6,22.4,"52,735","47,979","57,491"
WI,Washington County,1,1,1,1,"6,942","5,513","8,371",5.1,4.0,6.2,"1,635","1,203","2,067",5.6,4.1,7.1,968,657,"1,279",4.4,3.0,5.8,"81,928","76,938","86,918"
WI,Waukesha County,1,1,1,1,"18,915","16,096","21,734",4.7,4.0,5.4,"4,410","3,551","5,269",5.2,4.2,6.2,"3,024","2,352","3,696",4.7,3.6,5.8,"91,070","87,795","94,345"
WI,Waupaca County,6,6,6,6,"4,329","3,442","5,216",8.8,7.0,10.6,"1,219",857,"1,581",12.2,8.6,15.8,843,574,"1,112",11.4,7.8,15.0,"61,773","58,311","65,235"
WI,Waushara County,8,6,6,6,"2,863","2,381","3,345",12.4,10.3,14.5,819,610,"1,028",18.8,14.0,23.6,540,378,702,16.7,11.7,21.7,"55,476","51,863","59,089"
WI,Winnebago County,3,2,3,2,"15,965","13,631","18,299",9.7,8.3,11.1,"4,033","3,110","4,956",11.8,9.1,14.5,"2,780","2,098","3,462",11.1,8.4,13.8,"59,643","56,227","63,059"
WI,Wood County,4,5,4,5,"7,734","6,479","8,989",10.7,9.0,12.4,"2,360","1,803","2,917",15.3,11.7,18.9,"1,633","1,233","2,033",14.4,10.9,17.9,"57,325","53,372","61,278"
